id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8328,276,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Onions Dry,net,13,22,31,700,584,850,364,09/12/2011
8329,277,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Spring Onions,Bag,142,23,32,800,1125,900,1400,09/12/2011
8330,278,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Chillies,Bag,38,11,33,700,2337,700,1520,09/12/2011
8331,279,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Cucumber,Bag,50,14,34,1625,1625,2000,1250,09/12/2011
8332,280,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Capsicums,Bag,50,12,35,900,1872,900,1000,09/12/2011
8333,281,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Brinjals,Bag,44,8,36,750,1113,900,1250,09/12/2011
8334,282,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Cauliflower,crate,39,10,37,2180,2180,2800,1560,09/12/2011
8335,283,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Lettuce,Bag,51,17,38,2693,2693,4080,1000,09/12/2011
8336,284,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Passion Fruits,Bag,57,25,39,3000,3271,4560,1140,09/12/2011
8337,285,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Oranges,Bag,93,24,40,2400,2689,3400,2200,09/12/2011
8338,289,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Limes,net,13,18,44,580,580,700,500,09/12/2011
8339,3,2011-01-27,Kisumu,Kisumu,CEREAL,Finger Millet,Bag,90,41,10,4800,5375,7200,4050,27/01/2011
8340,286,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Lemons,Bag,95,16,41,800,1601,900,1400,09/12/2011
8341,287,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Mangoes Local,Bag,126,21,42,1800,1769,650,1800,09/12/2011
8342,288,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Mangoes Ngowe,Sm Basket,25,36,43,597,597,800,450,09/12/2011
8343,290,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Pineapples,Dozen,12.8000002,28,45,613,613,650,1080,09/12/2011
8344,291,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Pawpaw,Lg Box,54,26,46,800,1455,800,1000,09/12/2011
8345,292,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Avocado,Bag,90,1,47,850,2394,900,1200,09/12/2011
8346,293,2011-12-09,Kisumu,Kisumu,HORTICULTURE,Kales,Bag,50,15,48,1200,805,600,1000,09/12/2011
8347,294,2011-12-09,Kisumu,Kisumu,OTHERS,Eggs,Tray,5,47,49,280,282,330,250,09/12/2011
8348,40,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Avocado,Bag,90,1,47,850,2707,850,1800,27/01/2011
8349,1,2011-01-27,Kisumu,Kisumu,CEREAL,Dry Maize,Bag,90,20,8,3600,3063,3700,2300,27/01/2011
8350,2,2011-01-27,Kisumu,Kisumu,CEREAL,Green Maize,Ext Bag,115,19,9,1600,2850,4000,1600,27/01/2011
8351,4,2011-01-27,Kisumu,Kisumu,CEREAL,Sorghum,Bag,90,42,11,3600,3725,5400,2600,27/01/2011
8352,5,2011-01-27,Kisumu,Kisumu,CEREAL,Wheat,Bag,90,48,12,3725,3725,5400,2900,27/01/2011
8353,6,2011-01-27,Kisumu,Kisumu,LEGUMES,Beans Canadian,Bag,90,4,13,7200,5920,7200,4000,27/01/2011
8354,7,2011-01-27,Kisumu,Kisumu,LEGUMES,Beans Rosecoco,Bag,90,5,14,6400,5350,7000,4000,27/01/2011
8355,8,2011-01-27,Kisumu,Kisumu,LEGUMES,Beans Mwitemania,Bag,90,7,15,5543,5543,6900,4000,27/01/2011
8356,9,2011-01-27,Kisumu,Kisumu,LEGUMES,Mwezi Moja,Bag,90,6,16,5733,5733,7000,4800,27/01/2011
8357,10,2011-01-27,Kisumu,Kisumu,OTHERS,Beans Dolichos (Njahi),Bag,90,0,17,6733,6733,8100,5400,27/01/2011
8358,11,2011-01-27,Kisumu,Kisumu,LEGUMES,Green Gram,Bag,90,46,18,800,7663,9400,12600,27/01/2011
8359,1223,2011-01-02,Kisumu,Kisumu,LEGUMES,Groundnuts,Bag,110,44,21,9600,10933,9733,10000,02/01/2011
8360,1224,2011-01-02,Kisumu,Kisumu,ROOTS & TUBERS,Red Irish Potatoes,Bag,110,29,22,4140,2875,4140,2200,02/01/2011
8361,1225,2011-01-02,Kisumu,Kisumu,ROOTS & TUBERS,White Irish Potatoes,Bag,110,30,23,4140,2906,4500,1975,02/01/2011
8362,1226,2011-01-02,Kisumu,Kisumu,ROOTS & TUBERS,Cassava Fresh,Bag,98.8000031,43,24,1100,1906,3000,1100,02/01/2011
8363,1227,2011-01-02,Kisumu,Kisumu,ROOTS & TUBERS,Sweet Potatoes,Bag,98,31,25,1280,2335,3600,1280,02/01/2011
8364,12,2011-01-27,Kisumu,Kisumu,LEGUMES,Cowpeas,Bag,90,45,19,7200,7298,9000,10000,27/01/2011
8365,13,2011-01-27,Kisumu,Kisumu,LEGUMES,Fresh Peas,Bag,51,27,20,2500,2966,4080,2040,27/01/2011
8366,14,2011-01-27,Kisumu,Kisumu,LEGUMES,Groundnuts,Bag,110,44,21,9600,11425,9600,11000,27/01/2011
8367,15,2011-01-27,Kisumu,Kisumu,ROOTS & TUBERS,Red Irish Potatoes,Bag,110,29,22,4300,3200,4300,1800,27/01/2011
8368,16,2011-01-27,Kisumu,Kisumu,ROOTS & TUBERS,White Irish Potatoes,Bag,110,30,23,4300,3407,4800,1800,27/01/2011
8369,17,2011-01-27,Kisumu,Kisumu,ROOTS & TUBERS,Cassava Fresh,Bag,98.8000031,43,24,1000,1975,3000,1000,27/01/2011
8370,18,2011-01-27,Kisumu,Kisumu,ROOTS & TUBERS,Sweet Potatoes,Bag,98,31,25,1200,2838,4900,1200,27/01/2011
8371,19,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Cabbages,Ext Bag,126,9,26,1000,2004,900,1000,27/01/2011
8372,20,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Cooking Bananas,Med Bunch,22,2,27,300,509,700,270,27/01/2011
8373,25,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Spring Onions,Bag,142,23,32,900,1400,900,1500,27/01/2011
8374,26,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Chillies,Bag,38,11,33,850,2712,850,1420,27/01/2011
8375,27,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Cucumber,Bag,50,14,34,1767,1767,2000,1500,27/01/2011
8376,28,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Capsicums,Bag,50,12,35,1000,2400,3300,1000,27/01/2011
8377,29,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Brinjals,Bag,44,8,36,900,1302,900,1450,27/01/2011
8378,1210,2011-01-02,Kisii,Kisii,CEREAL,Dry Maize,Bag,90,20,8,3733.33325,3130,3733,2550,02/01/2011
8379,1211,2011-01-02,Kisii,Kisii,CEREAL,Green Maize,Ext Bag,115,19,9,2616,2616,4600,1450,02/01/2011
8380,1212,2011-01-02,Kisii,Kisii,CEREAL,Finger Millet,Bag,90,41,10,5400,5386,9000,3778,02/01/2011
8381,1213,2011-01-02,Kisii,Kisii,CEREAL,Sorghum,Bag,90,42,11,3482,3482,5400,2500,02/01/2011
8382,1214,2011-01-02,Kisii,Kisii,CEREAL,Wheat,Bag,90,48,12,4103,4103,5280,2900,02/01/2011
8383,1215,2011-01-02,Kisii,Kisii,LEGUMES,Beans Canadian,Bag,90,4,13,5333.3335,5942,7360,4275,02/01/2011
8384,1216,2011-01-02,Kisii,Kisii,LEGUMES,Beans Rosecoco,Bag,90,5,14,5333.3335,5454,7120,4275,02/01/2011
8385,1217,2011-01-02,Kisii,Kisii,LEGUMES,Beans Mwitemania,Bag,90,7,15,5333.3335,5624,6450,4200,02/01/2011
8386,1218,2011-01-02,Kisii,Kisii,LEGUMES,Mwezi Moja,Bag,90,6,16,5714,5714,7120,4080,02/01/2011
8387,1219,2011-01-02,Kisii,Kisii,OTHERS,Beans Dolichos (Njahi),Bag,90,0,17,6894,6894,9000,5360,02/01/2011
8388,1220,2011-01-02,Kisii,Kisii,LEGUMES,Green Gram,Bag,90,46,18,8070,8070,9920,10400,02/01/2011
8389,1221,2011-01-02,Kisii,Kisii,LEGUMES,Cowpeas,Bag,90,45,19,6718,6718,9600,4600,02/01/2011
8390,1222,2011-01-02,Kisii,Kisii,LEGUMES,Fresh Peas,Bag,51,27,20,2657,2657,5100,1200,02/01/2011
8391,1228,2011-01-02,Kisii,Kisii,HORTICULTURE,Cabbages,Ext Bag,126,9,26,933.333313,1568,990,1100,02/01/2011
8392,1229,2011-01-02,Kisii,Kisii,HORTICULTURE,Cooking Bananas,Med Bunch,22,2,27,383.333344,511,850,250,02/01/2011
8393,1230,2011-01-02,Kisii,Kisii,HORTICULTURE,Ripe Bananas,Med Bunch,14,3,28,585,585,900,1300,02/01/2011
8394,1231,2011-01-02,Kisii,Kisii,HORTICULTURE,Carrots,Ext Bag,138,13,29,2000,2418,920,1000,02/01/2011
8395,1232,2011-01-02,Kisii,Kisii,HORTICULTURE,Tomatoes,Lg Box,64,32,30,3166.66675,2698,800,1200,02/01/2011
8396,1233,2011-01-02,Kisii,Kisii,HORTICULTURE,Onions Dry,net,13,22,31,600,762,800,3000,02/01/2011
8397,1234,2011-01-02,Kisii,Kisii,HORTICULTURE,Spring Onions,Bag,142,23,32,900,1206,920,1380,02/01/2011
8398,1235,2011-01-02,Kisii,Kisii,HORTICULTURE,Chillies,Bag,38,11,33,2073,2073,760,1200,02/01/2011
8399,1236,2011-01-02,Kisii,Kisii,HORTICULTURE,Cucumber,Bag,50,14,34,1572,1572,1850,1167,02/01/2011
8400,1237,2011-01-02,Kisii,Kisii,HORTICULTURE,Capsicums,Bag,50,12,35,1927,1927,900,1400,02/01/2011
8401,1238,2011-01-02,Kisii,Kisii,HORTICULTURE,Brinjals,Bag,44,8,36,1121,1121,880,1000,02/01/2011
8402,1239,2011-01-02,Kisii,Kisii,HORTICULTURE,Cauliflower,crate,39,10,37,2088,2088,2460,1716,02/01/2011
8403,1240,2011-01-02,Kisii,Kisii,HORTICULTURE,Lettuce,Bag,51,17,38,2410,2410,4080,1320,02/01/2011
