county,nafis_date,variety,commodity,unit,kg,nafis_prices,season,avg_temp,max_temp,min_temp,precipitation_mm,annual_avg_inflation,twelve_month_inflation,household_sizes,total_household_demand_kg
Mombasa,10/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.5,6.67,306323,1874697
Mombasa,11/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,3,4.5,6.67,306323,1874697
Mombasa,12/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,1,4.5,6.67,306323,1874697
Mombasa,13/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,0,4.5,6.67,306323,1874697
Mombasa,14/10/2018,Horticulture,Kales,Bag,50,0,normal,29,31,21,0,4.5,6.67,306323,1874697
Mombasa,15/10/2018,Horticulture,Kales,Bag,50,0,normal,29,30,21,3,4.5,6.67,306323,1874697
Mombasa,16/10/2018,Horticulture,Kales,Bag,50,0,normal,30,30,21,12,4.5,6.67,306323,1874697
Mombasa,17/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,10,4.5,6.67,306323,1874697
Mombasa,18/10/2018,Horticulture,Kales,Bag,50,0,normal,30,30,21,1,4.5,6.67,306323,1874697
Mombasa,19/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,0,4.5,6.67,306323,1874697
Mombasa,20/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,0,4.5,6.67,306323,1874697
Mombasa,21/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,22,0,4.5,6.67,306323,1874697
Mombasa,22/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,1,4.5,6.67,306323,1874697
Mombasa,23/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,3,4.5,6.67,306323,1874697
Mombasa,24/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,21,2,4.5,6.67,306323,1874697
Mombasa,25/10/2018,Horticulture,Kales,Bag,50,0,normal,30,32,22,0,4.5,6.67,306323,1874697
Mombasa,26/10/2018,Horticulture,Kales,Bag,50,0,normal,30,32,22,0,4.5,6.67,306323,1874697
Mombasa,27/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,22,6,4.5,6.67,306323,1874697
Mombasa,28/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,22,2,4.5,6.67,306323,1874697
Mombasa,29/10/2018,Horticulture,Kales,Bag,50,0,normal,30,32,22,0,4.5,6.67,306323,1874697
Mombasa,30/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,22,3,4.5,6.67,306323,1874697
Mombasa,31/10/2018,Horticulture,Kales,Bag,50,0,normal,30,31,22,1,4.5,6.67,306323,1874697
Kisumu,01/08/2018,Horticulture,Kales,Bag,50,0,peak,29,28,17,0,4.96,4.05,271261,1660118
Kisumu,02/08/2018,Horticulture,Kales,Bag,50,0,peak,29,28,16,0,4.96,4.05,271261,1660118
Kisumu,03/08/2018,Horticulture,Kales,Bag,50,0,peak,29,28,17,0,4.96,4.05,271261,1660118
Kisumu,04/08/2018,Horticulture,Kales,Bag,50,0,peak,29,29,17,0,4.96,4.05,271261,1660118
Kisumu,05/08/2018,Horticulture,Kales,Bag,50,0,peak,29,29,15,1,4.96,4.05,271261,1660118
Kisumu,06/08/2018,Horticulture,Kales,Bag,50,0,peak,29,30,17,2,4.96,4.05,271261,1660118
Kisumu,07/08/2018,Horticulture,Kales,Bag,50,0,peak,29,29,17,0,4.96,4.05,271261,1660118
Kisumu,08/08/2018,Horticulture,Kales,Bag,50,0,peak,29,30,15,0,4.96,4.05,271261,1660118
Kisumu,09/08/2018,Horticulture,Kales,Bag,50,0,peak,29,31,16,0,4.96,4.05,271261,1660118
Kisumu,10/08/2018,Horticulture,Kales,Bag,50,0,peak,29,31,16,0,4.96,4.05,271261,1660118
Kisumu,11/08/2018,Horticulture,Kales,Bag,50,0,peak,29,32,16,0,4.96,4.05,271261,1660118
Kisumu,12/08/2018,Horticulture,Kales,Bag,50,0,peak,29,32,17,1,4.96,4.05,271261,1660118
Kisumu,13/08/2018,Horticulture,Kales,Bag,50,0,peak,29,30,17,0,4.96,4.05,271261,1660118
Kisumu,14/08/2018,Horticulture,Kales,Bag,50,0,peak,29,30,17,1,4.96,4.05,271261,1660118
Kisumu,15/08/2018,Horticulture,Kales,Bag,50,0,peak,29,29,17,0,4.96,4.05,271261,1660118
